STT,Mã sinh viên,Năng lực ban đầu,Năng lực sau khi thi vòng 1,Năng lực sau khi thi vòng 2,Năng lực sau khi thi vòng 3,Năng lực sau khi thi vòng 4,Năng lực sau khi thi vòng 5
1,1267010015,0,-0.03838827533598224,,,,
2,1267010001,0,,,,,
3,1267010002,0,,,,,
4,1267010003,0,,,,,
5,1267010004,0,,,,,
6,1267010005,0,,,,,
7,1267010006,0,,,,,
8,1267010007,0,,,,,
9,1267010008,0,,,,,
10,1267010009,0,,,,,
11,1267010010,0,,,,,
12,1267010011,0,,,,,
13,1267010012,0,,,,,
14,1267010013,0,,,,,
15,1267010014,0,,,,,
16,1267010015,0,,,,,
17,1267010016,0,,,,,
18,1267010017,0,,,,,
19,1267010018,0,,,,,
20,1267010019,0,,,,,
21,1267010020,0,,,,,
22,1267010021,0,,,,,
23,1267010022,0,,,,,
24,1267010023,0,,,,,
25,1267010024,0,,,,,
26,1267010025,0,,,,,
27,1267010026,0,,,,,
28,1267010027,0,,,,,
29,1267010028,0,,,,,
30,1267010029,0,,,,,
